Name,Temperature(degree),Dew point(degree),Humidity(%),Wind Speed(Km/h)
13,"[26.0, 16.8, 8.0]","[11.0, 8.8, 7.0]","[97.0, 65.5, 32.0]","[7.0, 3.3, 0.0]"
14,"[27.0, 17.3, 9.0]","[14.0, 10.0, 6.0]","[92.0, 68.8, 27.0]","[11.0, 2.5, 0.0]"
15,"[26.0, 18.1, 10.0]","[14.0, 10.0, 6.0]","[92.0, 66.1, 28.0]","[7.0, 1.9, 0.0]"
16,"[26.0, 17.1, 11.0]","[13.0, 10.8, 9.0]","[95.0, 71.8, 35.0]","[9.0, 2.5, 0.0]"
17,"[26.0, 17.3, 11.0]","[12.0, 9.4, 5.0]","[93.0, 66.8, 28.0]","[7.0, 3.8, 0.0]"
18,"[28.0, 18.6, 10.0]","[13.0, 9.4, 3.0]","[97.0, 63.5, 20.0]","[7.0, 2.9, 0.0]"
19,"[25.0, 18.1, 12.0]","[12.0, 9.4, 5.0]","[91.0, 61.9, 28.0]","[11.0, 5.1, 0.0]"
20,"[23.0, 17.0, 13.0]","[12.0, 11.1, 8.0]","[93.0, 70.0, 38.0]","[19.0, 10.8, 6.0]"
21,"[26.0, 17.1, 12.0]","[11.0, 7.3, 3.0]","[91.0, 60.8, 23.0]","[15.0, 5.1, 0.0]"
22,"[26.0, 19.3, 11.0]","[12.0, 10.8, 9.0]","[92.0, 61.6, 36.0]","[19.0, 12.6, 6.0]"
23,"[23.0, 18.8, 16.0]","[17.0, 15.0, 13.0]","[91.0, 78.9, 62.0]","[15.0, 6.4, 0.0]"
24,"[26.0, 18.6, 14.0]","[14.0, 12.5, 9.0]","[93.0, 72.0, 37.0]","[17.0, 4.5, 0.0]"
25,"[27.0, 19.3, 13.0]","[14.0, 13.1, 12.0]","[96.0, 72.6, 44.0]","[13.0, 5.3, 0.0]"
26,"[23.0, 18.1, 15.0]","[14.0, 12.3, 11.0]","[94.0, 70.5, 51.0]","[26.0, 12.0, 0.0]"
27,"[24.0, 18.1, 13.0]","[13.0, 11.5, 10.0]","[93.0, 68.0, 40.0]","[13.0, 4.1, 0.0]"
28,"[24.0, 18.0, 13.0]","[12.0, 8.9, 6.0]","[93.0, 59.7, 29.0]","[9.0, 5.3, 0.0]"
 Mar ,"[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]","[[' Max ', ' Avg ', ' Min ']]"
1,"[25.0, 17.8, 11.0]","[14.0, 11.0, 9.0]","[95.0, 69.8, 37.0]","[7.0, 3.5, 0.0]"
2,"[26.0, 18.4, 12.0]","[14.0, 12.1, 9.0]","[96.0, 72.8, 35.0]","[9.0, 4.0, 0.0]"
3,"[28.0, 21.9, 16.0]","[16.0, 13.9, 9.0]","[87.0, 63.8, 31.0]","[7.0, 2.9, 0.0]"
4,"[25.0, 19.9, 16.0]","[14.0, 13.6, 13.0]","[90.0, 69.9, 46.0]","[15.0, 8.0, 4.0]"
5,"[26.0, 19.3, 14.0]","[15.0, 12.8, 10.0]","[89.0, 69.8, 38.0]","[15.0, 8.1, 0.0]"
6,"[27.0, 20.1, 14.0]","[16.0, 14.3, 12.0]","[88.0, 70.6, 40.0]","[11.0, 3.3, 0.0]"
7,"[28.0, 21.5, 16.0]","[16.0, 14.4, 12.0]","[94.0, 68.0, 35.0]","[9.0, 3.0, 0.0]"
8,"[30.0, 21.5, 16.0]","[16.0, 13.9, 12.0]","[91.0, 67.0, 33.0]","[11.0, 4.6, 0.0]"
9,"[31.0, 22.6, 15.0]","[14.0, 11.6, 6.0]","[91.0, 56.8, 24.0]","[11.0, 5.5, 0.0]"
10,"[29.0, 22.1, 18.0]","[16.0, 14.1, 11.0]","[86.0, 64.1, 32.0]","[22.0, 6.9, 0.0]"
11,"[23.0, 19.4, 16.0]","[16.0, 14.4, 13.0]","[91.0, 73.6, 60.0]","[7.0, 4.2, 0.0]"
12,"[30.0, 22.8, 17.0]","[16.0, 14.4, 13.0]","[86.0, 62.5, 34.0]","[17.0, 8.8, 0.0]"
